id,sura,aya,translation,7_cluster_2_dim,7_cluster_1000_dim,7_cluster_2899_dim,15_cluster_2_dim,15_cluster_1000_dim,15_cluster_2899_dim,21_cluster_2_dim,21_cluster_1000_dim,21_cluster_2899_dim
20,2,13,Dan apabila dikatakan kepada mereka Berimanlah kamu sebagaimana orang lain yang telah beriman Mereka menjawab Apakah kami akan beriman seperti orangorang yang kurang akal itu beriman Ingatlah sesungguhnya mereka itulah orangorang yang kurang akal tetapi mereka tidak tahu,3,0,0,3,0,0,3,18,0
21,2,14,Dan apabila mereka berjumpa dengan orang yang beriman mereka berkata Kami telah beriman Tetapi apabila mereka kembali kepada setansetan para pemimpin mereka mereka berkata Sesungguhnya kami bersama kamu kami hanya berolokolok,0,0,0,0,0,0,0,0,0
22,2,15,Allah akan memperolokolokkan mereka dan membiarkan mereka terombangambing dalam kesesatan,1,0,0,13,0,0,13,0,0
23,2,16,Mereka itulah yang membeli kesesatan dengan petunjuk Maka perdagangan mereka itu tidak beruntung dan mereka tidak mendapat petunjuk,0,0,0,0,0,0,17,0,0
24,2,17,Perumpamaan mereka seperti orangorang yang menyalakan api setelah menerangi sekelilingnya Allah melenyapkan cahaya yang menyinari mereka dan membiarkan mereka dalam kegelapan tidak dapat melihat,6,0,0,0,0,0,17,0,0
25,2,18,Mereka tuli bisu dan buta sehingga mereka tidak dapat kembali,0,0,0,10,0,0,10,0,0
26,2,19,Atau seperti orang yang ditimpa hujan lebat dari langit yang disertai kegelapan petir dan kilat Mereka menyumbat telinga dengan jarijarinya menghindari suara petir itu karena takut mati Allah meliputi orangorang yang kafir,0,0,0,0,0,0,17,0,0
27,2,20,Hampir saja kilat itu menyambar penglihatan mereka Setiap kali kilat itu menyinari mereka berjalan di bawah sinar itu dan apabila gelap menerpa mereka mereka berhenti Sekiranya Allah menghendaki niscaya Dia hilangkan pendengaran dan penglihatan mereka Sungguh Allah Mahakuasa atas segala sesuatu,6,0,0,6,0,0,6,0,0
28,2,21,Wahai manusia Sembahlah Tuhanmu yang telah menciptakan kamu dan orangorang yang sebelum kamu agar kamu bertakwa,2,0,0,12,0,0,20,0,0
29,2,22,Dialah yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap dan Dialah yang menurunkan air hujan dari langit lalu Dia hasilkan dengan hujan itu buahbuahan sebagai rezeki untukmu Karena itu janganlah kamu mengadakan tandingantandingan bagi Allah padahal kamu mengetahui,6,0,0,6,0,0,6,0,0
30,2,23,Dan jika kamu meragukan AlQuran yang kami turunkan kepada hamba Kami Muhammad maka buatlah satu surah semisal dengannya dan ajaklah penolongpenolongmu selain Allah jika kamu orangorang yang benar,6,0,0,0,0,0,17,0,0
31,2,24,Jika kamu tidak mampu membuatnya dan pasti tidak akan mampu maka takutlah kamu akan api neraka yang bahan bakarnya manusia dan batu yang disediakan bagi orangorang kafir,3,0,0,3,0,0,3,0,0
32,2,25,Dan sampaikanlah kabar gembira kepada orangorang yang beriman dan berbuat kebajikan bahwa untuk mereka disediakan surgasurga yang mengalir di bawahnya sungaisungai Setiap kali mereka diberi rezeki buahbuahan dari surga mereka berkata Inilah rezeki yang diberikan kepada kami dahulu Mereka telah diberi buahbuahan yang serupa Dan di sana mereka memperoleh pasanganpasangan yang suci Mereka kekal di dalamnya,0,0,0,3,0,0,3,0,0
33,2,26,Sesungguhnya Allah tidak segan membuat perumpamaan seekor nyamuk atau yang lebih kecil dari itu Adapun orangorang yang beriman mereka tahu bahwa itu kebenaran dari Tuhan Tetapi mereka yang kafir berkata Apa maksud Allah dengan perumpamaan ini Dengan perumpamaan itu banyak orang yang disesatkanNya dan dengan itu banyak pula orang yang diberiNya petunjuk Tetapi tidak ada yang Dia sesatkan dengan perumpamaan itu selain orangorang fasik,6,0,0,7,0,0,0,0,0
34,2,27,yaitu orangorang yang melanggar perjanjian Allah setelah perjanjian itu diteguhkan dan memutuskan apa yang diperintahkan Allah untuk disambungkan dan berbuat kerusakan di bumi Mereka itulah orangorang yang rugi,6,0,0,6,0,0,6,0,0
35,2,28,Bagaimana kamu ingkar kepada Allah padahal kamu tadinya mati lalu Dia menghidupkan kamu kemudian Dia mematikan kamu lalu Dia menghidupkan kamu kembali Kemudian kepadaNyalah kamu dikembalikan,1,0,0,13,12,12,13,12,12
36,2,29,Dialah Allah yang menciptakan segala apa yang ada di bumi untuk kalian kemudian Dia menuju ke langit lalu Dia menyempurnakannya menjadi tujuh langit Dan Dia Maha Mengetahui segala sesuatu,4,0,0,4,0,0,4,16,0
37,2,30,Dan ingatlah ketika Tuhanmu berfirman kepada para Malaikat Aku hendak menjadikan khalifah di bumi Mereka berkata Apakah Engkau hendak menjadikan orang yang merusak dan menumpahkan darah di sana sedangkan kami bertasbih memujiMu dan menyucikan namaMu Dia berfirman Sungguh Aku mengetahui apa yang tidak kalian ketahui,6,0,0,7,0,0,0,0,0
38,2,31,Dan Dia ajarkan kepada Adam namanama benda semuanya kemudian Dia perlihatkan kepada para malaikat seraya berfirman Sebutkan kepadaKu nama semua benda ini jika kalian yang benar,0,0,0,10,0,0,10,0,0
39,2,32,Mereka menjawab Mahasuci Engkau tidak ada yang kami ketahui selain apa yang telah Engkau ajarkan kepada kami Sungguh Engkaulah Yang Maha Mengetahui Mahabijaksana,1,0,0,12,0,0,12,0,0
40,2,33,Dia Allah berfirman Wahai Adam Beritahukanlah kepada mereka namanama itu Setelah dia Adam menyebutkan namanamanya Dia berfirman Bukankah telah Aku katakan kepada kalian bahwa Aku mengetahui rahasia langit dan bumi dan Aku mengetahui apa yang kalian nyatakan dan apa yang kalian sembunyikan,1,0,0,6,0,0,13,0,0
41,2,34,Dan ingatlah ketika Kami berfirman kepada para malaikat Sujudlah kalian kepada Adam Maka mereka pun sujud kecuali Iblis Ia menolak dan menyombongkan diri dan ia termasuk golongan yang kafir,0,0,0,3,0,0,3,0,0
42,2,35,Dan Kami berfirman Wahai Adam Tinggallah engkau dan istrimu di dalam surga dan makanlah dengan nikmat berbagai makanan yang ada di sana sesukamu Tetapi janganlah kamu dekati pohon ini nanti kamu termasuk orangorang yang zalim,3,0,0,3,0,0,18,0,0
43,2,36,Lalu setan menggelincirkan keduanya dari surga sehingga keduanya dikeluarkan dari segala kenikmatan ketika keduanya di sana surga Dan Kami berfirman Turunlah kalian Sebagian kalian menjadi musuh bagi yang lain Dan bagi kalian ada tempat tinggal dan kesenangan di bumi sampai waktu yang ditentukan,0,0,0,10,0,0,18,0,0
44,2,37,Kemudian Adam menerima beberapa kalimat dari Tuhannya lalu Dia pun menerima tobatnya Sungguh Allah Maha Penerima tobat Maha Penyayang,4,0,0,12,0,0,20,0,0
45,2,38,Kami berfirman Turunlah kalian semua dari surga Kemudian jika benarbenar datang petunjukKu kepada kalian maka siapa yang mengikuti petunjukKu tidak ada rasa takut bagi mereka dan mereka tidak bersedih hati,0,0,0,0,0,0,17,0,0
46,2,39,Adapun orangorang yang kafir dan mendustakan ayatayat Kami mereka itu penghuni neraka Mereka kekal di dalamnya,3,0,0,8,0,0,8,0,0
47,2,40,Wahai Bani Israil Ingatlah nikmatKu yang telah Aku berikan kepadamu Dan penuhilah janjimu kepadaKu niscaya Aku penuhi janjiKu kepadamu dan takutlah kepadaKu saja,0,0,0,7,0,0,0,0,0
48,2,41,Dan berimanlah kalian kepada apa AlQuran yang telah Aku turunkan yang membenarkan apa Taurat yang ada pada kalian dan janganlah kalian menjadi orang yang pertama kafir kepadanya Janganlah kalian jual ayatayatKu dengan harga yang murah dan bertakwalah hanya kepadaKu,0,0,0,3,0,0,3,0,0
49,2,42,Dan janganlah kalian campuradukkan kebenaran dengan kebatilan dan janganlah kalian sembunyikan kebenaran sedangkan kalian mengetahuinya,0,0,0,10,0,0,18,0,0
50,2,43,Dan laksanakanlah salat tunaikanlah zakat dan rukuklah beserta orang yang rukuk,0,0,0,10,0,0,10,0,0
51,2,44,Mengapa kalian menyuruh orang lain mengerjakan kebajikan sedangkan kalian melupakan diri kalian sendiri padahal kalian membaca Kitab Taurat Tidakkah kalian mengerti,0,0,0,3,0,0,3,0,0
52,2,45,Dan mohonlah pertolongan kepada Allah dengan sabar dan salat Dan salat itu sungguh berat kecuali bagi orangorang yang khusyuk,6,0,0,6,0,0,6,0,0
53,2,46,yaitu mereka yang yakin bahwa mereka akan menemui Tuhannya dan bahwa mereka akan kembali kepadaNya,5,0,0,9,0,0,9,0,0
54,2,47,Wahai Bani Israil Ingatlah nikmatKu yang telah Aku berikan kepadamu dan Aku telah melebihkan kamu dari semua umat yang lain di alam ini pada masa itu,0,0,0,7,0,0,7,0,0
55,2,48,Dan takutlah kamu pada hari ketika tidak seorang pun dapat membela orang lain sedikit pun Sedangkan syafaat dan tebusan apa pun darinya tidak diterima dan mereka tidak akan ditolong,0,0,0,10,0,0,10,0,0
56,2,49,Dan ingatlah ketika Kami menyelamatkan kamu dari Firaun dan pengikutpengikut Firaun Mereka menimpakan siksaan yang sangat berat kepadamu Mereka menyembelih anakanak lakilakimu dan membiarkan hidup anakanak perempuanmu Dan pada yang demikian itu merupakan cobaan yang besar dari Tuhanmu,0,0,0,7,0,0,0,0,0
57,2,50,Dan ingatlah ketika Kami membelah laut untukmu sehingga kamu dapat Kami selamatkan dan Kami tenggelamkan Firaun dan pengikutpengikut Firaun sedang kamu menyaksikan,0,0,0,3,0,0,3,0,0
58,2,51,Dan ingatlah ketika Kami menjanjikan kepada Musa empat puluh malam Kemudian kamu Bani Israil menjadikan patung anak sapi sebagai sesembahan setelah kepergiannya dan kamu menjadi orang yang zalim,0,0,0,10,0,0,10,0,0
59,2,52,Kemudian Kami memaafkan kamu setelah itu agar kamu bersyukur,0,0,0,0,0,0,17,0,0
60,2,53,Dan ingatlah ketika Kami memberikan kepada Musa Kitab dan Furqan agar kamu memperoleh petunjuk,0,0,0,10,0,0,10,0,0
61,2,54,Dan ingatlah ketika Musa berkata kepada kaumnya Wahai kaumku Kamu benarbenar telah menzalimi dirimu sendiri dengan menjadikan patung anak sapi sebagai sesembahan karena itu bertobatlah kepada Penciptamu dan bunuhlah dirimu Itu lebih baik bagimu di sisi Penciptamu Dia akan menerima tobatmu Sungguh Dialah Yang Maha Penerima tobat Maha Penyayang,1,0,0,1,0,0,1,0,0
62,2,55,Dan ingatlah ketika kamu berkata Wahai Musa Kami tidak akan beriman kepadamu sebelum kami melihat Allah dengan jelas maka halilintar menyambarmu sedang kamu menyaksikannya,6,0,0,6,0,0,6,0,0
63,2,56,Kemudian Kami membangkitkan kamu setelah kamu mati agar kamu bersyukur,0,0,0,10,0,0,10,0,0
64,2,57,Dan Kami menaungi kamu dengan awan dan Kami menurunkan kepadamu manna dan salwa Makanlah makanan yang baikbaik dari rezeki yang telah Kami berikan kepadamu Mereka tidak menzalimi Kami tetapi justru merekalah yang menzalimi diri sendiri,0,0,0,10,0,0,10,0,0
65,2,58,Dan ingatlah ketika Kami berfirman Masuklah kamu ke negeri ini Baitulmaqdis maka makanlah dengan nikmat berbagai makanan yang ada di sana sesukamu Dan masukilah pintu gerbangnya sambil membungkuk dan katakanlah Bebaskanlah kami dari dosadosa kami niscaya Kami ampuni kesalahankesalahanmu Dan Kami akan menambah karunia bagi orangorang yang berbuat kebaikan,0,0,0,10,0,0,10,0,0
66,2,59,Lalu orangorang yang zalim mengganti perintah dengan perintah lain yang tidak diperintahkan kepada mereka Maka Kami turunkan malapetaka dari langit kepada orangorang yang zalim itu karena mereka selalu berbuat fasik,0,0,0,10,0,0,10,0,0
67,2,60,Dan ingatlah ketika Musa memohon air untuk kaumnya lalu Kami berfirman Pukullah batu itu dengan tongkatmu Maka memacarlah darinya dua belas mata air Setiap suku telah mengetahui tempat minumnya masingmasing Makan dan minumlah dari rezeki yang diberikan Allah dan janganlah kamu melakukan kejahatan di bumi dengan berbuat kerusakan,0,0,0,0,0,0,17,0,0
68,2,61,Dan ingatlah ketika kamu berkata Wahai Musa Kami tidak tahan hanya makan dengan satu macam makanan saja maka mohonkanlah kepada Tuhanmu untuk kami agar Dia memberi kami apa yang ditumbuhkan bumi seperti sayurmayur mentimun bawang putih kacang adas dan bawang merah Dia Musa menjawab Apakah kamu meminta sesuatu yang buruk sebagai ganti dari sesuatu yang baik Pergilah ke suatu kota pasti kamu memperoleh apa yang kamu minta Kemudian mereka ditimpa kenistaan dan kemiskinan dan mereka kembali mendapat kemurkaan dari Allah Hal itu terjadi karena mereka mengingkari ayatayat Allah dan membunuh para nabi tanpa hak alasan yang benar Yang demikian itu karena mereka durhaka dan melampaui batas,6,0,0,0,0,0,0,0,0
69,2,62,Sesungguhnya orangorang yang beriman orangorang Yahudi orangorang Nasrani dan orangorang bin siapa saja diantara mereka yang beriman kepada Allah dan hari akhir dan melakukan kebajikan mereka mendapat pahala dari Tuhannya tidak ada rasa takut pada mereka dan mereka tidak bersedih hati,6,0,0,7,0,0,0,0,0
70,2,63,Dan ingatlah ketika Kami mengambil janji kamu dan Kami angkat gunung Sinai di atasmu seraya berfirman Pegang teguhlah apa yang telah Kami berikan kepadamu dan ingatlah apa yang ada di dalamnya agar kamu bertakwa,0,0,0,10,0,0,10,0,0
71,2,64,Kemudian setelah itu kamu berpaling Maka sekiranya bukan karena karunia Allah dan rahmatNya kepadamu pasti kamu termasuk orang yang rugi,1,0,0,13,0,0,13,0,0
72,2,65,Dan sungguh kamu telah mengetahui orangorang yang melakukan pelanggaran di antara kamu pada hari Sabat lalu Kami katakan kepada mereka Jadilah kamu kera yang hina,0,0,0,10,0,0,0,0,0
73,2,66,Maka Kami jadikan yang demikian itu peringatan bagi orangorang pada masa itu dan bagi mereka yang datang kemudian serta menjadi pelajaran bagi orangorang yang bertakwa,3,0,0,11,0,0,11,18,0
74,2,67,Dan ingatlah ketika Musa berkata kepada kaumnya Allah memerintahkan kamu agar menyembelih seekor sapi betina Mereka bertanya Apakah engkau akan menjadikan kami sebagai ejekan  Dia Musa menjawab Aku berlindung kepada Allah agar tidak menjadi orangorang yang bodoh,6,0,0,6,0,0,6,0,0
75,2,68,Mereka berkata Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami tentang sapi betina itu Dia Musa menjawab Dia Allah berfirman bahwa sapi betina itu tidak tua dan tidak muda tetapi pertengahan antara itu Maka kerjakanlah apa yang diperintahkan kepadamu,6,0,0,7,0,0,12,0,0
76,2,69,Mereka berkata Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami apa warnanya Dia Musa menjawab Dia Allah berfirman bahwa sapi itu adalah sapi betina yang kuning tua warnanya yang menyenangkan orangorang yang memandangnya,6,0,0,7,0,0,0,0,0
77,2,70,Mereka berkata Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami tentang sapi betina itu Karena sesungguhnya sapi itu belum jelas bagi kami dan jika Allah menghendaki niscaya kami mendapat petunjuk,2,0,0,12,0,0,20,0,0
78,2,71,Dia Musa menjawab Dia Allah berfirman sapi itu adalah sapi betina yang belum pernah dipakai untuk membajak tanah dan tidak pula untuk mengairi tanaman sehat dan tidak belang Mereka berkata Sekarang barulah engkau menerangkan hal yang sebenarnya Lalu mereka menyembelihnya dan nyaris mereka tidak melaksanakan perintah itu,6,0,0,0,0,0,17,0,0
79,2,72,Dan ingatlah ketika kamu membunuh seseorang lalu kamu tuduhmenuduh tentang itu Tetapi Allah menyingkapkan apa yang kamu sembunyikan,1,0,0,13,0,0,13,0,0
80,2,73,Lalu Kami berfirman Pukullah mayat itu dengan bagian dari sapi itu Demikianlah Allah menghidupkan orang yang telah mati dan Dia memperlihatkan kepadamu tandatanda kekuasaanNya agar kamu mengerti,6,0,0,6,0,0,6,0,0
81,2,74,Kemudian setelah itu hatimu menjadi keras sehingga hatimu seperti batu bahkan lebih keras Padahal dari batubatu itu pasti ada sungaisungai yang airnya memancar darinya Ada pula yang terbelah lalu keluarlah mata air darinya Dan ada pula yang meluncur jatuh karena takut kepada Allah Dan Allah tidaklah lengah terhadap apa yang kamu kerjakan,6,0,0,6,0,0,6,0,0
82,2,75,Maka apakah kamu muslimin sangat mengharapkan mereka akan percaya kepadamu sedangkan segolongan dari mereka mendengar firman Allah lalu mereka mengubahnya setelah memahaminya padahal mereka mengetahuinya ,6,0,0,6,0,0,6,0,0
83,2,76,Dan apabila mereka berjumpa dengan orangorang yang beriman mereka berkata Kami telah beriman Tetapi apabila kembali kepada sesamanya mereka bertanya Apakah akan kamu ceritakan kepada mereka apa yang telah diterangkan Allah kepadamu sehingga mereka dapat menyanggah kamu di hadapan Tuhanmu Tidakkah kamu mengerti ,6,0,0,7,0,0,12,0,0
84,2,77,Dan tidakkah mereka tahu bahwa Allah mengetahui apa yang mereka sembunyikan dan apa yang mereka tampakkan,4,0,0,4,0,0,4,0,0
85,2,78,Dan di antara mereka ada yang buta huruf tidak memahami Kitab Taurat kecuali hanya beranganangan dan mereka hanya mendugaduga,0,0,0,10,0,0,10,0,0
86,2,79,Maka celakalah orangorang yang menulis kitab dengan tangan mereka sendiri kemudian berkata Ini dari Allah dengan maksud untuk menjualnya dengan harga murah Maka celakalah mereka karena tulisan tangan mereka dan celakalah mereka karena apa yang mereka perbuat,0,0,0,3,0,0,3,0,0
87,2,80,Dan mereka berkata Neraka tidak akan menyentuh kami kecuali beberapa hari saja Katakanlah Sudahkah kamu menerima janji dari Allah sehingga Allah tidak akan mengingkari janjiNya ataukah kamu mengatakan tentang Allah sesuatu yang tidak kamu ketahui,4,0,0,4,0,0,19,0,0
88,2,81,Tidaklah demikian Barang siapa berbuat keburukan dan dosanya telah menenggelamkannya maka mereka itu penghuni neraka Mereka kekal di dalamnya,3,0,0,3,0,0,3,0,0
89,2,82,Dan orangorang yang beriman dan mengerjakan kebajikan mereka itu penghuni surga Mereka kekal di dalamnya,3,0,0,11,0,0,11,0,0
90,2,83,Dan ingatlah ketika Kami mengambil janji dari Bani Israil Janganlah kamu menyembah selain Allah dan berbuat baiklah kepada kedua orang tua kerabat anakanak yatim dan orangorang miskin Dan bertutur katalah yang baik kepada manusia laksanakan salat dan tunaikanlah zakat Tetapi kemudian kamu berpaling mengingkari kecuali sebagian kecil dari kamu dan kamu masih menjadi pembangkang,0,0,0,0,0,0,17,0,0
91,2,84,Dan ingatlah ketika Kami mengambil janji kamu Janganlah kamu menumpahkan darahmu membunuh orang dan mengusir dirimu saudara sebangsamu dari kampung halamanmu kemudian kamu berikrar dan bersaksi,0,0,0,10,0,0,10,0,0
92,2,85,Kemudian kamu Bani Israil membunuh dirimu sesamamu dan mengusir segolongan dari kamu dari kampung halamannya Kamu saling membantu menghadapi mereka dalam kejahatan dan permusuhan Dan jika mereka datang kepadamu sebagai tawanan kamu tebus mereka padahal kamu dilarang mengusir mereka Apakah kamu beriman kepada sebagian Kitab Taurat dan ingkar kepada sebagian yang lain Maka tidak ada balasan yang pantas bagi orang yang berbuat demikian di antara kamu selain kenistaan dalam kehidupan dunia dan pada hari Kiamat mereka dikembalikan kepada azab yang paling berat Dan Allah tidak lengah terhadap apa yang kamu kerjakan,0,0,0,10,0,0,10,0,0
93,2,86,Mereka itulah orangorang yang membeli kehidupan dunia dengan kehidupan akhirat Maka tidak akan diringankan azabnya dan mereka tidak akan ditolong,3,0,0,11,0,0,11,0,0
94,2,87,Dan sungguh Kami telah memberikan Kitab Taurat kepada Musa dan Kami susulkan setelahnya dengan Rasulrasul dan kami telah berikan kepada Isa putra Maryam buktibukti kebenaran serta Kami perkuat dia dengan Ruhulkudus Jibril Mengapa setiap Rasul yang datang kepadamu membawa sesuatu pelajaran yang tidak kamu inginkan kamu menyombongkan diri lalu sebagian kamu dustakan dan sebagian kamu bunuh,0,0,0,10,0,0,18,0,0
95,2,88,Dan mereka berkata Hati kami tertutup Tidak Allah telah melaknat mereka itu karena keingkaran mereka tetapi sedikit sekali mereka yang beriman,1,0,0,13,0,0,13,0,0
96,2,89,Dan setelah sampai kepada mereka Kitab AlQuran dari Allah yang membenarkan apa yang ada pada mereka sedangkan sebelumnya mereka memohon kemenangan atas orangorang kafir ternyata setelah sampai kepada mereka apa yang telah mereka ketahui itu mereka mengingkarinya Maka laknat Allah bagi orangorang yang ingkar,6,0,0,6,0,0,6,18,0
97,2,90,Sangatlah buruk perbuatan mereka menjual dirinya dengan mengingkari apa yang diturunkan Allah karena dengki bahwa Allah menurunkan karuniaNya kepada siapa yang Dia kehendaki di antara hambahambaNya Karena itulah mereka menanggung kemurkaan demi kemurkaan Dan kepada orangorang kafir ditimpakan azab yang menghinakan,6,0,0,0,0,0,17,0,0
98,2,91,Dan apabila dikatakan kepada mereka Berimanlah kepada apa yang diturunkan Allah AlQuran mereka menjawab Kami beriman kepada apa yang diturunkan kepada kami Dan mereka ingkar kepada apa yang setelahnya padahal AlQuran itu adalah yang hak yang membenarkan apa yang ada pada mereka Katakanlah Muhammad Mengapa kamu dahulu membunuh nabinabi Allah jika kamu orangorang beriman,6,0,0,6,0,0,6,18,0
99,2,92,Dan sungguh Musa telah datang kepadamu dengan buktibukti kebenaran kemudian kamu mengambil patung anak sapi sebagai sesembahan setelah kepergian nya dan kamu menjadi orangorang zalim,0,0,0,7,0,0,0,0,0
100,2,93,Dan ingatlah ketika Kami mengambil janji kamu dan Kami angkat gunung Sinai di atasmu seraya berfirman Pegang teguhlah apa yang Kami berikan kepadamu dan dengarkanlah Mereka menjawab Kami mendengarkan tetapi kami tidak menaati Dan diresapkanlah ke dalam hati mereka itu kecintaan menyembah patung anak sapi karena kekafiran mereka Katakanlah Sangat buruk apa yang diperintahkan oleh kepercayaanmu kepadamu jika kamu orangorang beriman,0,0,0,0,0,0,17,0,0
101,2,94,Katakanlah Muhammad Jika negeri akhirat di sisi Allah khusus untukmu saja bukan untuk orang lain maka mintalah kematian jika kamu orang yang benar,6,0,0,6,0,0,6,0,0
102,2,95,Tetapi mereka tidak akan menginginkan kematian itu sama sekali karena dosadosa yang telah dilakukan tangantangan mereka Dan Allah Maha Mengetahui orangorang zalim,1,0,0,13,0,0,19,0,0
103,2,96,Dan sungguh engkau Muhammad akan mendapati mereka orangorang Yahudi manusia yang paling tamak akan kehidupan dunia bahkan lebih tamak dari orangorang musyrik Masingmasing dari mereka ingin diberi umur seribu tahun padahal umur panjang itu tidak akan menjauhkan mereka dari azab Dan Allah Maha melihat apa yang mereka kerjakan,6,0,0,0,0,0,17,0,0
104,2,97,Katakanlah Muhammad Siapa yang menjadi musuh Jibril maka ketahuilah bahwa dialah yang telah menurunkan AlQuran ke dalam hatimu dengan izin Allah membenarkan apa kitabkitab yang terdahulu dan menjadi petunjuk serta berita gembira bagi orangorang beriman,6,0,0,0,0,0,17,0,0
105,2,98,Siapa yang menjadi musuh Allah malaikatmalaikatNya rasulrasulNya Jibril dan Mikail maka sesungguhnya Allah musuh bagi orangorang kafir,1,0,0,13,0,0,13,0,0
106,2,99,Dan sungguh Kami telah menurunkan ayatayat yang jelas kepadamu Muhammad dan tidaklah ada yang mengingkarinya selain orangorang fasik,0,0,0,7,0,0,0,18,0
107,2,100,Dan mengapa setiap kali mereka mengikat janji sekelompok mereka melanggarnya Sedangkan sebagian besar mereka tidak beriman,0,0,0,10,0,0,10,0,0
108,2,101,Dan setelah datang kepada mereka seorang Rasul Muhammad dari Allah yang membenarkan apa yang ada pada mereka sebagian dari orangorang yang diberi Kitab Taurat melemparkan Kitab Allah itu ke belakang punggung seakanakan mereka tidak tahu,6,0,0,6,0,0,6,0,0
109,2,102,Dan mereka mengikuti apa yang dibaca oleh setansetan pada masa kerajaan Sulaiman Sulaiman itu tidak kafir tetapi setansetan itulah yang kafir mereka mengajarkan sihir kepada manusia dan apa yang diturunkan kepada dua malaikat di negeri Babilonia yaitu Harut dan Marut Padahal keduanya tidak mengajarkan sesuatu kepada seseorang sebelum mengatakan Sesungguhnya kami hanyalah cobaan bagimu sebab itu janganlah kafir Maka mereka mempelajari dari keduanya malaikat itu apa yang dapat memisahkan antara seorang suami dengan istrinya Mereka tidak akan dapat mencelakakan seseorang dengan sihirnya kecuali dengan izin Allah Mereka mempelajari sesuatu yang mencelakakan dan tidak memberi manfaat kepada mereka Dan sungguh mereka sudah tahu siapa yang membeli menggunakan sihir itu niscaya tidak akan mendapat keuntungan di akhirat Dan sungguh sangatlah buruk perbuatan mereka yang menjual dirinya dengan sihir sekiranya mereka tahu,0,0,0,10,0,0,10,0,0
110,2,103,Dan jika mereka beriman dan bertakwa pahala dari Allah pasti lebih baik sekiranya mereka tahu,4,0,0,4,0,0,4,0,0
111,2,104,Wahai orangorang yang beriman Janganlah kamu katakan Rin tetapi katakanlah Unurn dan dengarkanlah Dan orangorang kafir akan mendapat azab yang pedih,3,0,0,11,0,0,11,0,0
112,2,105,Orangorang yang kafir dari Ahli Kitab dan orangorang musyrik tidak menginginkan diturunkannya kepadamu suatu kebaikan dari Tuhanmu Tetapi secara khusus Allah memberikan rahmatNya kepada orang yang Dia kehendaki Dan Allah pemilik karunia yang besar,1,0,0,6,0,0,1,0,0
